"Section","Metric","Value","Details"
"REPORT_INFO","Generated","2026-02-02 17:15:48","Comprehensive Copilot Usage & Cost Analysis"
"REPORT_INFO","Cycle Period","2026-01-21 to 2026-02-20","31-day billing cycle"
"USAGE","Total Requests","704.63","Sum across all days"
"USAGE","Average Daily","35.23","Mean requests per day"
"USAGE","Peak Daily","63.729999999999976","Highest single-day usage"
"USAGE","Active Days","20","Days with non-zero usage"
"USAGE","Percent of Base","234.88%","300 request base plan"
"COST","Base Plan Cost","$10.00","300 requests included"
"COST","Overage Requests","405","Requests beyond base plan"
"COST","Overage Cost","$16.20","\{overagePrice} per request"
"COST","Total Cost","$26.20","Base + overage"
"PATTERNS","Usage Pattern","Moderate","CV: 0.498"
"PATTERNS","Trend","Decreasing","First-half vs second-half comparison"
"PATTERNS","Std Deviation","17.55","Daily request variability"
"PATTERNS","Spike Days","0",""
"RECOMMENDATIONS","Rec 1","USAGE PATTERN: Moderate variability. Monitor daily usage to prevent unexpected spikes.",""
"RECOMMENDATIONS","Rec 2","TREND: Usage is trending downward. Current plan should remain sufficient.",""
"RECOMMENDATIONS","Rec 3","PACING WARNING: Current daily average (34.8) is 259% above sustainable target (9.7). Reduce usage or plan for overage costs.",""
"RECOMMENDATIONS","Rec 4","WEEKLY PATTERN: Highest usage on Thursday (avg 48.2), lowest on Friday (avg 26.5).",""
"RECOMMENDATIONS","Rec 5","OPTIMIZATION: Schedule batch/heavy workloads on Friday if possible to smooth weekly distribution.",""
