"Section","Metric","Value","Details"
"REPORT_INFO","Generated","2026-02-05 15:58:39","Comprehensive Copilot Usage & Cost Analysis"
"REPORT_INFO","IMPORTANT","Dual-Window Billing","Base plan (300 requests): Billing cycle 21th-th | Overages: Calendar month"
"REPORT_INFO","Current Billing Cycle","2026-01-21 to 2026-02-20","Period for 300 included requests"
"USAGE","Total Requests","15","Sum across all days"
"USAGE","Average Daily","7.5","Mean requests per day"
"USAGE","Peak Daily","13","Highest single-day usage"
"USAGE","Active Days","2","Days with non-zero usage"
"USAGE","Percent of Base","5.00%","300 request base plan"
"BILLING_CYCLE","Cycle Total Requests","0","From 21th to th"
"BILLING_CYCLE","Included Requests Used","0","Of 300 included in \basePlanPrice base plan"
"BILLING_CYCLE","Cycle Percent Used","","Of base plan quota"
"BILLING_CYCLE","Requests Beyond 300","0","Exceeds included quota (billed monthly)"
"MONTHLY_COSTS","Base Plan Cost","$10.00","300 requests included per billing cycle"
"MONTHLY_COSTS","Total Overage Cost","$","Sum of all monthly overage charges"
"MONTHLY_COSTS","TOTAL COST","$@{BasePlan=10.00; TotalOverages=0.00; GrandTotal=10.00}","Base (\basePlanPrice) + Overages (\(@{BillingCycle=; MonthlyOverages=; TotalCost=}.TotalOverageCost.ToString('N2')))"
"PATTERNS","Usage Pattern","Bursty","CV: 0.733"
"PATTERNS","Trend","Decreasing","First-half vs second-half comparison"
"PATTERNS","Std Deviation","5.5","Daily request variability"
"PATTERNS","Spike Days","0",""
"RECOMMENDATIONS","Rec 1","USAGE PATTERN: Bursty/irregular usage detected. Consider smoothing workload distribution across days.",""
"RECOMMENDATIONS","Rec 2","TIMING: Schedule heavy AI workloads in the first week after cycle start (day 21) when quota is fresh.",""
"RECOMMENDATIONS","Rec 3","TREND: Usage is trending downward. Current plan should remain sufficient.",""
"RECOMMENDATIONS","Rec 4","PACING: Current daily average (7.5) is within sustainable target (9.7). Continue at current pace.",""
